2022 Morning View Resurfacing & Storm Drain Improvements, 2023-09, 2023-06, 2023-09, road, capital, design  
PCH Median Improvements Project, 2023-12, 2023-09, 2023-09, road, capital, design  
Westward Beach Road Repair Project, 2023-09, 2023-06, 2023-09, road, capital, design  
Westward Beach Road Drainage Improvements Project, 2023-09, Not specified, 2023-06, road, capital, design  
Clover Heights Storm Drainage Improvements, 2023-09, Not specified, 2023-09, road, disaster, design  
Latigo Canyon Road Retaining Wall Repair Project, 2023-09, Not specified, 2023-09, road, disaster, design  
Trancas Canyon Park Upper and Lower Slopes Repair, 2023-07, Not specified, 2023-06, Not specified, disaster, design  
Malibu Bluffs Park South Walkway Repairs, 2023-07, Not specified, 2023-09, Not specified, capital, design  
Trancas Canyon Park Playground, 2023-12, Not specified, 2023-12, Not specified, capital, design  
PCH Signal Synchronization System Improvements Project, 2023-07, Not specified, 2023-06, road, capital, not started  
Storm Drain Trash Screens Phase Two, 2023-07, Not specified, 2023-06, Not specified, capital, not started  
PCH Crosswalk Improvements at Big Rock Drive and 20326 PCH, Not specified, Not specified, Not specified, road, capital, not started
