Marie Canyon Green Streets, Summer 2022, 2022-05, Not specified, Not specified, capital, design  
PCH Median Improvements Project, 2022-09, 2022-03, Summer 2022, Not specified, capital, not started  
PCH Signal Synchronization System Improvements Project, Fall 2022, Spring 2022, Summer 2022, Not specified, capital, not started  
Westward Beach Road Repair Project, Fall 2022, Summer 2022, Not specified, road, capital, not started  
Civic Center Water Treatment Facility Phase 2, Spring 2023, 2021-12, 2022-12, Not specified, capital, not started  
Permanent Skate Park, Not specified, Spring 2022, Not specified, Not specified, capital, not started  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, road, capital, design  
Michael Landon Center Roof Replacement Project, Fall 2022, Summer 2022, Not specified, Not specified, capital, not started  
Bluffs Park Shade Structure, Summer 2022, 2022-02, Not specified, Not specified, capital, not started  
Michael Landon Center HVAC Replacement Project, Summer 2022, Not specified, Not specified, Not specified, capital, not started  
Latigo Canyon Road Roadway/Retaining Wall Improvements (FEMA Project), Summer 2022, 2022-04, Summer 2022, road, disaster, design  
Trancas Canyon Park Planting and Irrigation Repairs (CalJPIA/FEMA Project), Summer 2022, Summer 2022, Not specified, Not specified, disaster, design  
Trancas Canyon Park Slope Stabilization Project (CalJPIA Project), Summer 2022, Summer 2022, Not specified, Not specified, disaster, design  
Encinal Canyon Road Drainage Improvements (CalOES Project), Fall 2022, Summer 2022, Not specified, road, disaster, design  
Malibu Road Slope Repairs (CalOES Project), Fall 2022, Summer 2022, Not specified, road, disaster, design  
Westward Beach Road Shoulder Repairs (CalOES Project), Spring 2023, Fall 2022, Not specified, road, disaster, design
