Marie Canyon Green Streets, Winter 2021, 2021-04, Not specified, Not specified, capital, design  
PCH Median Improvements Project, Fall 2021, 2021-03, Not specified, Not specified, capital, design  
PCH Signal Synchronization System Improvements Project, 2021-09, 2021-05, 2021-07, Not specified, capital, design  
Civic Center Stormwater Diversion Structure, Summer 2021, Not specified, Not specified, Not specified, capital, design  
Westward Beach Road Improvements Project, Fall 2021, 2021-03, Not specified, road, capital, design  
Civic Center Water Treatment Facility Phase 2, 2022-03, 2021-12, Not specified, Not specified, capital, design  
Malibu Park Drainage Improvements, 2021-06, 2021-03, Not specified, road, capital, design  
Annual Street Maintenance, Summer 2021, 2021-03, Not specified, road, capital, not started  
Bluffs Park Shade Structure, Fall 2021, 2021-06, Not specified, Not specified, capital, not started  
Vehicle Protection Devices, Fall 2021, 2021-06, Not specified, Not specified, capital, not started  
Malibu Road Slope Repairs, Winter 2021, 2021-09, Not specified, road, capital, not started  
Broad Beach Road Water Quality Infrastructure Repairs, Fall 2021, 2021-06, Not specified, Not specified, disaster, design  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Summer 2021, 2021-03, Not specified, road, disaster, design  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, 2021-06, Not specified, Not specified, disaster, design  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, 2021-06, Not specified, Not specified, disaster, design  
Outdoor Warning Sirens, Not specified, Not specified, Not specified, Not specified, disaster, design  
Clover Heights Storm Drain, Summer 2022, 2022-03, Not specified, Not specified, disaster, not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, 2021-12, Not specified, road, disaster, not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, 2021-12, Not specified, road, disaster, not started  
Storm Drain Master Plan, Not specified, 2022-03, Not specified, Not specified, disaster, not started
